Date,Population,Unirate,Mortgages,Index,Supply
2000-01-01,281083,4,8.21,100.551,4.3
2000-02-01,281299,4.1,8.325,101.339,4.3
2000-03-01,281531,4,8.24,102.127,4.3
2000-04-01,281763,3.8,8.1525,102.922,4.4
2000-05-01,281996,4,8.515,103.678,4.4
2000-06-01,282247,4,8.288,104.424,4.8
2000-07-01,282504,4,8.1475,105.054,4.1
2000-08-01,282769,4.1,8.0275,105.768,4.4
2000-09-01,283033,3.9,7.912,106.538,4
2000-10-01,283285,3.9,7.795,107.382,4
2000-11-01,283523,3.9,7.745,108.302,4.2
2000-12-01,283748,3.9,7.382,109.14,3.6
2001-01-01,283960,4.2,7.0325,109.846,3.8
2001-02-01,284166,4.2,7.05,110.5,3.7
2001-03-01,284380,4.3,6.952,111.109,3.8
2001-04-01,284602,4.4,7.0775,111.652,3.9
2001-05-01,284834,4.3,7.145,112.164,4
2001-06-01,285076,4.5,7.16,112.796,4.2
2001-07-01,285324,4.6,7.1275,113.491,4.2
2001-08-01,285584,4.9,6.95,114.167,4.4
2001-09-01,285842,5,6.8175,114.812,4.4
2001-10-01,286086,5.3,6.6175,115.31,4.3
2001-11-01,286315,5.5,6.658,115.857,4.1
2001-12-01,286533,5.7,7.065,116.455,3.8
2002-01-01,286739,5.7,6.9975,117.144,4.2
2002-02-01,286935,5.7,6.8925,117.845,4
2002-03-01,287131,5.7,7.014,118.687,4.1
2002-04-01,287343,5.9,6.985,119.611,4.3
2002-05-01,287571,5.8,6.806,120.724,4
2002-06-01,287808,5.8,6.65,121.813,4.2
2002-07-01,288051,5.8,6.485,122.888,4.2
2002-08-01,288303,5.7,6.29,123.83,4
2002-09-01,288554,5.7,6.0925,124.78,3.9
2002-10-01,288794,5.7,6.1125,125.735,4
2002-11-01,289012,5.9,6.068,126.67,4
2002-12-01,289214,6,6.0475,127.624,4
2003-01-01,289412,5.8,5.916,128.461,4
2003-02-01,289606,5.9,5.8425,129.355,4.5
2003-03-01,289809,5.9,5.745,130.148,4.1
2003-04-01,290024,6,5.8125,130.884,4.1
2003-05-01,290250,6.1,5.484,131.735,3.9
2003-06-01,290484,6.3,5.23,132.649,3.5
2003-07-01,290726,6.2,5.6325,133.777,3.6
2003-08-01,290974,6.1,6.264,134.969,3.5
2003-09-01,291222,6.1,6.1475,136.294,3.8
2003-10-01,291463,6,5.952,137.531,3.8
2003-11-01,291677,5.8,5.9325,138.794,4.1
2003-12-01,291868,5.7,5.876,140.179,4
2004-01-01,292046,5.7,5.7125,141.646,3.8
2004-02-01,292230,5.6,5.635,143.192,3.7
2004-03-01,292434,5.8,5.445,145.059,3.6
2004-04-01,292651,5.6,5.83,146.593,4
2004-05-01,292872,5.6,6.27,148.186,3.8
2004-06-01,293103,5.6,6.2875,149.85,3.9
2004-07-01,293350,5.5,6.056,151.338,4.5
2004-08-01,293603,5.4,5.8675,152.633,4.3
2004-09-01,293857,5.4,5.754,154.179,4.1
2004-10-01,294104,5.5,5.7225,155.75,3.9
2004-11-01,294337,5.4,5.73,157.527,4.3
2004-12-01,294561,5.4,5.752,159.33,4.1
2005-01-01,294768,5.3,5.71,161.288,4.4
2005-02-01,294955,5.4,5.6275,163.344,4.3
2005-03-01,295149,5.2,5.928,165.812,4.1
2005-04-01,295359,5.2,5.855,167.501,4.3
2005-05-01,295582,5.1,5.72,169.351,4.2
2005-06-01,295824,5,5.582,171.19,4.3
2005-07-01,296077,5,5.695,172.86,4.2
2005-08-01,296338,4.9,5.82,174.442,4.5
2005-09-01,296606,5,5.774,176.438,4.7
2005-10-01,296857,5,6.065,178.028,4.5
2005-11-01,297089,5,6.33,179.68,5
2005-12-01,297311,4.9,6.272,180.91,4.9
2006-01-01,297526,4.7,6.145,182.321,5.3
2006-02-01,297734,4.8,6.2525,183.287,6.1
2006-03-01,297950,4.7,6.324,184.364,5.9
2006-04-01,298170,4.7,6.5075,184.329,6.3
2006-05-01,298401,4.6,6.5975,184.156,6.2
2006-06-01,298653,4.6,6.682,183.507,6.3
2006-07-01,298910,4.7,6.7625,183.068,7.3
2006-08-01,299178,4.7,6.524,182.594,6.7
2006-09-01,299452,4.5,6.4025,182.798,6.7
